Maleic Acid,x0,ph,w,sk
50.0,1139.4527041923711,46663.274666803954,72.95253560587892,-4.361405834809138
25.0,1107.0952527161223,30745.291327370418,55.65881946991246,-4.714420889345514
12.5,1082.4625868318865,19871.024138501303,42.6651502637573,-3.101449273762277
6.25,1064.3336766517198,13001.803713055242,32.305170145868324,-1.5847891574480584
3.125,1040.4923107352745,8969.708561652436,22.244343561028963,0.18437792567772765

Glucose,x0,ph,w,sk
100.0,1178.2458999681692,789161.3581541834,45.4535041490714,3.088768455744396
50.0,1176.2021999151502,438928.9289169055,40.56455357657612,2.5564832633003083
25.0,1174.8879693965948,224657.3437729607,39.242400670176735,2.198089519439436
12.5,1174.9782405305114,114938.74764624171,38.42799961371122,1.9727097052213882
6.25,1176.3461535532153,59608.83855099803,36.65300137640322,1.7376994839143936

Xylose,x0,ph,w,sk
50.0,1256.3410423306818,369993.1748565094,46.537971952201005,2.6460469411539385
25.0,1253.0434833803831,203244.45047976833,44.46462889516863,2.4129012510018075
12.5,1251.9162525764239,104332.73023613647,43.21145175961374,2.215690292466296
6.25,1252.0869094845748,53367.89777813492,42.367657478302085,2.076089610486172
3.125,1253.5344147542626,27801.266656985892,40.13919064752058,1.8072029183078895

Glycerol,x0,ph,w,sk
50.0,1661.9377782171102,294031.5683152907,50.69599959153748,2.249157707531821
25.0,1660.861451656195,157086.9570795779,48.144112996628664,2.014071174636943
12.5,1660.295221812147,79966.27759629997,46.97947865620249,1.8562664150557313
6.25,1660.7061437790949,40646.39989885913,46.466287975828436,1.7688827995375165
3.125,1662.1655353521803,21054.401837888177,44.878197023021286,1.6121182770666183

Acetic Acid,x0,ph,w,sk
50.0,1784.8117720611754,144722.41314625362,59.36070645772491,2.2588242200732687
25.0,1787.360670824569,78929.59412181396,54.603755299586375,1.9575430505329836
12.5,1788.8036775599708,41198.38048618158,52.28021354626925,1.7963146260445755
6.25,1790.187361875096,21024.59546468271,51.32136251615634,1.7080010682658702
3.125,1792.3492601604326,10773.243662975643,49.11559873609825,1.5682490791323687

Ethanol,x0,ph,w,sk
30.0,2567.696870168694,53769.61018284055,71.41491016606332,2.183609951542704
15.0,2570.8311616539518,26399.795012053062,67.08745850204211,1.8944266788079676
7.5,2572.0603073800353,14617.221373573444,65.21148516602547,1.768365311779912
3.75,2574.453636240391,7102.834417245661,62.651832497673944,1.6370264538658474
1.875,2575.825172148866,3686.9220878697934,62.1474881224361,1.5418556017280303

n-Buthanol,x0,ph,w,sk
30.0,3991.530116113706,58374.80241564497,124.83884068613825,2.6450998402433594
15.0,4006.5700075690265,29663.101784646646,114.86996248302898,2.0644907821531215
7.5,4014.863183361745,16404.715141433942,107.47105522393015,1.7650488025067095
3.75,4020.4577899797787,8167.773468738869,105.9978183171805,1.676993028898709
1.875,4026.9165581413577,4186.117914403237,99.43162434425652,1.4194092395423341

